"Data e HoraObservação","QNH (hPa)","QFE (hPa)","QFF (hPa)","Tendência da Pressão(conforme ICA 105-16)","Alt850hpa"
"24/01/2024 - 17:00:00","1015,5","1006,1","-","-","-"
"24/01/2024 - 18:00:00","1015,1","1005,7","1014,7","7","-"
"24/01/2024 - 19:00:00","1014,5","1005,1","-","-","-"
"24/01/2024 - 20:00:00","1013,9","1004,6","-","-","-"
"24/01/2024 - 21:00:00","1013,7","1004,4","1013,5","7","-"
"24/01/2024 - 22:00:00","1013,8","1004,5","-","-","-"
"25/01/2024 - 09:00:00","1016,1","1006,7","1015,8","3","-"
"25/01/2024 - 10:00:00","1016,6","1007,2","-","-","-"
"25/01/2024 - 11:00:00","1017,0","1007,6","-","-","-"
"25/01/2024 - 12:00:00","1017,4","1008,0","1017,1","2","-"
"25/01/2024 - 13:00:00","1017,3","1007,9","-","-","-"
"25/01/2024 - 14:00:00","1017,1","1007,7","-","-","-"
"25/01/2024 - 15:00:00","1017,1","1007,7","1016,8","7","-"
"25/01/2024 - 16:00:00","1016,8","1007,4","-","-","-"
"25/01/2024 - 18:00:00","1016,3","1006,9","1016,0","7","-"
"25/01/2024 - 19:00:00","1015,9","1006,5","-","-","-"
"25/01/2024 - 20:00:00","1015,5","1006,1","-","-","-"
"25/01/2024 - 21:00:00","1015,4","1006,0","1015,1","6","-"
"25/01/2024 - 22:00:00","1015,6","1006,2","-","-","-"
"26/01/2024 - 09:00:00","1017,7","1008,3","1017,4","3","-"
"26/01/2024 - 10:00:00","1018,3","1008,9","-","-","-"
"26/01/2024 - 11:00:00","1018,9","1009,5","-","-","-"
"26/01/2024 - 12:00:00","1019,1","1009,7","1018,8","2","-"
"26/01/2024 - 13:00:00","1019,1","1009,7","-","-","-"
"26/01/2024 - 14:00:00","1018,9","1009,5","-","-","-"
"26/01/2024 - 15:00:00","1018,6","1009,2","1018,3","8","-"
"26/01/2024 - 16:00:00","1018,2","1008,8","-","-","-"
"26/01/2024 - 17:00:00","1017,7","1008,3","-","-","-"
"26/01/2024 - 18:00:00","1016,9","1007,5","1016,5","7","-"
"26/01/2024 - 19:00:00","1016,4","1007,0","-","-","-"
"26/01/2024 - 20:00:00","1015,8","1006,4","-","-","-"
"26/01/2024 - 21:00:00","1015,4","1006,0","1015,1","7","-"
"26/01/2024 - 22:00:00","1015,6","1006,2","-","-","-"
"27/01/2024 - 09:00:00","1016,2","1006,8","1015,9","3","-"
"27/01/2024 - 10:00:00","1016,7","1007,3","-","-","-"
"27/01/2024 - 11:00:00","1016,9","1007,5","-","-","-"
"27/01/2024 - 12:00:00","1017,0","1007,6","1016,7","2","-"
"27/01/2024 - 13:00:00","1016,8","1007,4","-","-","-"
"27/01/2024 - 14:00:00","1016,3","1006,9","-","-","-"
"27/01/2024 - 15:00:00","1015,9","1006,5","1015,6","7","-"
"27/01/2024 - 16:00:00","1015,5","1006,1","-","-","-"
"27/01/2024 - 17:00:00","1015,0","1005,6","-","-","-"
"27/01/2024 - 18:00:00","1014,2","1004,9","1013,9","7","-"
"27/01/2024 - 19:00:00","1013,5","1004,2","-","-","-"
"27/01/2024 - 20:00:00","1013,0","1003,7","-","-","-"
"27/01/2024 - 21:00:00","1012,8","1003,5","1012,5","7","-"
"27/01/2024 - 22:00:00","1012,9","1003,6","-","-","-"
"28/01/2024 - 09:00:00","1014,1","1004,8","1013,9","1","-"
"28/01/2024 - 10:00:00","1014,5","1005,1","-","-","-"
"28/01/2024 - 11:00:00","1014,8","1005,4","-","-","-"
"28/01/2024 - 12:00:00","1014,7","1005,3","1014,4","7","-"
"28/01/2024 - 13:00:00","1014,6","1005,2","-","-","-"
"28/01/2024 - 14:00:00","1014,6","1005,2","-","-","-"
"28/01/2024 - 15:00:00","1014,2","1004,9","1013,9","7","-"
"28/01/2024 - 16:00:00","1013,8","1004,5","-","-","-"
"28/01/2024 - 17:00:00","1013,3","1004,0","-","-","-"
"28/01/2024 - 18:00:00","1012,7","1003,4","1012,4","7","-"
"28/01/2024 - 19:00:00","1012,0","1002,7","-","-","-"
"28/01/2024 - 20:00:00","1011,5","1002,2","-","-","-"
"28/01/2024 - 21:00:00","1010,9","1001,6","1010,6","7","-"
"28/01/2024 - 22:00:00","1010,9","1001,6","-","-","-"
"29/01/2024 - 09:00:00","1013,1","1003,8","1012,9","2","-"
"29/01/2024 - 10:00:00","1013,6","1004,3","-","-","-"
"29/01/2024 - 11:00:00","1013,9","1004,6","-","-","-"
"29/01/2024 - 12:00:00","1014,0","1004,7","1013,7","1","-"
"29/01/2024 - 13:00:00","1014,1","1004,8","-","-","-"
"29/01/2024 - 14:00:00","1013,8","1004,5","-","-","-"
"29/01/2024 - 15:00:00","1013,7","1004,4","1013,4","6","-"
"29/01/2024 - 16:00:00","1013,3","1004,0","-","-","-"
"29/01/2024 - 17:00:00","1013,0","1003,7","-","-","-"
"29/01/2024 - 18:00:00","1012,2","1002,9","1011,9","7","-"
"29/01/2024 - 19:00:00","1011,7","1002,4","-","-","-"
"29/01/2024 - 20:00:00","1011,3","1002,0","-","-","-"
"29/01/2024 - 21:00:00","1010,7","1001,4","1010,4","7","-"
"29/01/2024 - 22:00:00","1010,9","1001,6","-","-","-"
"30/01/2024 - 09:00:00","1012,1","1002,8","1011,8","2","-"
"30/01/2024 - 10:00:00","1012,7","1003,4","-","-","-"
"30/01/2024 - 11:00:00","1013,1","1003,8","-","-","-"
"30/01/2024 - 12:00:00","1013,4","1004,1","1013,0","2","-"
"30/01/2024 - 13:00:00","1013,6","1004,3","-","-","-"
"30/01/2024 - 14:00:00","1013,7","1004,4","-","-","-"
"30/01/2024 - 15:00:00","1013,4","1004,1","1013,0","0","-"
"30/01/2024 - 16:00:00","1012,9","1003,6","-","-","-"
"30/01/2024 - 17:00:00","1012,6","1003,3","-","-","-"
"30/01/2024 - 18:00:00","1012,1","1002,8","1011,8","7","-"
"30/01/2024 - 19:00:00","1011,3","1002,0","-","-","-"
"30/01/2024 - 20:00:00","1010,8","1001,5","-","-","-"
"30/01/2024 - 21:00:00","1010,4","1001,1","1010,0","7","-"
"30/01/2024 - 22:00:00","1010,2","1000,9","-","-","-"
"31/01/2024 - 09:00:00","1012,4","1003,1","1012,1","3","-"
"31/01/2024 - 10:00:00","1013,1","1003,8","-","-","-"
"31/01/2024 - 11:00:00","1013,8","1004,5","-","-","-"
"31/01/2024 - 12:00:00","1014,4","1005,0","1013,9","2","-"
"31/01/2024 - 13:00:00","1014,5","1005,1","-","-","-"
"31/01/2024 - 14:00:00","1014,6","1005,2","-","-","-"
"31/01/2024 - 15:00:00","1014,2","1004,9","1013,8","8","-"
"31/01/2024 - 16:00:00","1013,8","1004,5","-","-","-"
"31/01/2024 - 17:00:00","1013,5","1004,2","-","-","-"
"31/01/2024 - 18:00:00","1013,1","1003,8","1012,7","7","-"
"31/01/2024 - 19:00:00","1012,7","1003,4","-","-","-"
"31/01/2024 - 20:00:00","1012,0","1002,7","-","-","-"
"31/01/2024 - 21:00:00","1011,7","1002,4","1011,3","7","-"
"31/01/2024 - 22:00:00","1012,0","1002,7","-","-","-"
"01/02/2024 - 09:00:00","1015,0","1005,6","1014,6","2","-"
"01/02/2024 - 10:00:00","1015,7","1006,3","-","-","-"
"01/02/2024 - 11:00:00","1016,1","1006,7","-","-","-"
"01/02/2024 - 12:00:00","1016,4","1007,0","1016,0","2","-"
"01/02/2024 - 13:00:00","1016,6","1007,2","-","-","-"
"01/02/2024 - 14:00:00","1016,3","1006,9","-","-","-"
"01/02/2024 - 15:00:00","1016,2","1006,8","1015,8","6","-"
"01/02/2024 - 16:00:00","1016,0","1006,6","-","-","-"
"01/02/2024 - 17:00:00","1015,6","1006,2","-","-","-"
"01/02/2024 - 18:00:00","1015,0","1005,6","1014,5","7","-"
"01/02/2024 - 19:00:00","1014,4","1005,0","-","-","-"
"01/02/2024 - 20:00:00","1013,7","1004,4","-","-","-"
"01/02/2024 - 21:00:00","1013,3","1004,0","1013,0","7","-"
"01/02/2024 - 22:00:00","1013,5","1004,2","-","-","-"
"02/02/2024 - 09:00:00","1015,6","1006,2","1015,2","3","-"
"02/02/2024 - 10:00:00","1015,6","1006,2","-","-","-"
"02/02/2024 - 11:00:00","1016,0","1006,6","-","-","-"
"02/02/2024 - 12:00:00","1016,2","1006,8","1015,8","3","-"
"02/02/2024 - 13:00:00","1016,2","1006,8","-","-","-"
"02/02/2024 - 14:00:00","1016,0","1006,6","-","-","-"
"02/02/2024 - 15:00:00","1015,4","1006,0","1014,9","8","-"
"02/02/2024 - 16:00:00","1014,7","1005,3","-","-","-"
"02/02/2024 - 17:00:00","1014,0","1004,7","-","-","-"
"02/02/2024 - 18:00:00","1013,2","1003,9","1012,8","7","-"
"02/02/2024 - 19:00:00","1012,5","1003,2","-","-","-"
"02/02/2024 - 20:00:00","1011,7","1002,4","-","-","-"
"02/02/2024 - 21:00:00","1011,3","1002,0","1010,9","7","-"
"02/02/2024 - 22:00:00","1011,2","1001,9","-","-","-"
"03/02/2024 - 09:00:00","1012,0","1002,7","1011,6","3","-"
"03/02/2024 - 10:00:00","1012,5","1003,2","-","-","-"
"03/02/2024 - 11:00:00","1013,1","1003,8","-","-","-"
"03/02/2024 - 12:00:00","1012,8","1003,5","1012,4","1","-"
"03/02/2024 - 13:00:00","1012,5","1003,2","-","-","-"
"03/02/2024 - 14:00:00","1012,3","1003,0","-","-","-"
"03/02/2024 - 15:00:00","1012,2","1002,9","1011,8","7","-"
"03/02/2024 - 16:00:00","1011,7","1002,4","-","-","-"
"03/02/2024 - 17:00:00","1011,0","1001,7","-","-","-"
"03/02/2024 - 18:00:00","1010,3","1001,0","1009,8","7","-"
"03/02/2024 - 19:00:00","1010,0","1000,7","-","-","-"
"03/02/2024 - 20:00:00","1009,3","1000,0","-","-","-"
"03/02/2024 - 21:00:00","1009,0","999,7","1008,6","6","-"
"03/02/2024 - 22:00:00","1009,3","1000,0","-","-","-"
"04/02/2024 - 09:00:00","1012,0","1002,7","1011,6","2","-"
"04/02/2024 - 10:00:00","1012,6","1003,3","-","-","-"
"04/02/2024 - 11:00:00","1013,0","1003,7","-","-","-"
"04/02/2024 - 12:00:00","1013,3","1004,0","1012,9","2","-"
"04/02/2024 - 13:00:00","1013,8","1004,5","-","-","-"
"04/02/2024 - 14:00:00","1013,5","1004,2","-","-","-"
"04/02/2024 - 15:00:00","1013,2","1003,9","1012,7","8","-"
"04/02/2024 - 16:00:00","1012,6","1003,3","-","-","-"
"04/02/2024 - 17:00:00","1011,8","1002,5","-","-","-"
"04/02/2024 - 18:00:00","1010,9","1001,6","1010,4","7","-"
"04/02/2024 - 18:02:00","1010,8","1001,5","-","-","-"
"04/02/2024 - 19:00:00","1011,2","1001,9","-","-","-"
"04/02/2024 - 20:00:00","1011,1","1001,8","-","-","-"
"04/02/2024 - 21:00:00","1011,6","1002,3","1011,3","3","-"
"04/02/2024 - 22:00:00","1012,0","1002,7","-","-","-"
"05/02/2024 - 09:00:00","1013,7","1004,4","1013,5","1","-"
"05/02/2024 - 11:00:00","1013,9","1004,6","-","-","-"
"05/02/2024 - 12:00:00","1014,1","1004,8","1013,8","5","-"
"05/02/2024 - 13:00:00","1014,4","1005,0","-","-","-"
"05/02/2024 - 14:00:00","1014,4","1005,0","-","-","-"
"05/02/2024 - 15:00:00","1014,0","1004,7","1013,6","8","-"
"05/02/2024 - 16:00:00","1013,6","1004,3","-","-","-"
"05/02/2024 - 17:00:00","1013,1","1003,8","-","-","-"
"05/02/2024 - 18:00:00","1012,5","1003,2","1012,1","7","-"
"05/02/2024 - 19:00:00","1012,0","1002,7","-","-","-"
"05/02/2024 - 20:00:00","1011,4","1002,1","-","-","-"
"05/02/2024 - 21:00:00","1011,1","1001,8","1010,7","7","-"
"05/02/2024 - 22:00:00","1011,3","1002,0","-","-","-"
"06/02/2024 - 09:00:00","1014,9","1005,5","1014,4","3","-"
"06/02/2024 - 10:00:00","1015,5","1006,1","-","-","-"
"06/02/2024 - 11:00:00","1015,8","1006,4","-","-","-"
"06/02/2024 - 12:00:00","1015,9","1006,5","1015,4","2","-"
"06/02/2024 - 13:00:00","1016,2","1006,8","-","-","-"
"06/02/2024 - 14:00:00","1016,1","1006,7","-","-","-"
"06/02/2024 - 15:00:00","1015,4","1006,0","1014,9","8","-"
"06/02/2024 - 16:00:00","1014,7","1005,3","-","-","-"
"06/02/2024 - 17:00:00","1014,0","1004,7","-","-","-"
"06/02/2024 - 18:00:00","1013,3","1004,0","1012,8","7","-"
"06/02/2024 - 19:00:00","1012,2","1002,9","-","-","-"
"06/02/2024 - 20:00:00","1011,5","1002,2","-","-","-"
"06/02/2024 - 21:00:00","1011,2","1001,9","1010,8","7","-"
"06/02/2024 - 22:00:00","1012,1","1002,8","-","-","-"
"07/02/2024 - 09:00:00","1012,3","1003,0","1011,9","3","-"
"07/02/2024 - 10:00:00","1013,0","1003,7","-","-","-"
"07/02/2024 - 11:00:00","1013,4","1004,1","-","-","-"
"07/02/2024 - 12:00:00","1013,4","1004,1","1013,0","1","-"
"07/02/2024 - 13:00:00","1013,2","1003,9","-","-","-"
"07/02/2024 - 14:00:00","1013,3","1004,0","-","-","-"
"07/02/2024 - 15:00:00","1012,8","1003,5","1012,3","8","-"
"07/02/2024 - 16:00:00","1012,2","1002,9","-","-","-"
"07/02/2024 - 17:00:00","1011,4","1002,1","-","-","-"
"07/02/2024 - 18:00:00","1010,6","1001,3","1010,1","7","-"
"07/02/2024 - 19:00:00","1009,7","1000,4","-","-","-"
"07/02/2024 - 20:00:00","1008,7","999,4","-","-","-"
"07/02/2024 - 21:00:00","1008,1","998,8","1007,6","7","-"
"07/02/2024 - 22:00:00","1007,9","998,6","-","-","-"
"07/02/2024 - 23:00:00","1008,4","999,1","-","-","-"
"07/02/2024 - 23:10:00","1008,5","999,2","-","-","-"
"08/02/2024 - 09:00:00","1009,7","1000,4","1009,2","6","-"
"08/02/2024 - 10:00:00","1009,9","1000,6","-","-","-"
"08/02/2024 - 11:00:00","1010,3","1001,0","-","-","-"
"08/02/2024 - 12:00:00","1010,9","1001,6","1010,5","2","-"
"08/02/2024 - 13:00:00","1010,7","1001,4","-","-","-"
"08/02/2024 - 14:00:00","1011,0","1001,7","-","-","-"
"08/02/2024 - 15:00:00","1011,1","1001,8","1010,6","3","-"
"08/02/2024 - 16:00:00","1010,7","1001,4","-","-","-"
"08/02/2024 - 17:00:00","1010,1","1000,8","-","-","-"
"08/02/2024 - 18:00:00","1009,3","1000,0","1008,8","7","-"
"08/02/2024 - 19:00:00","1008,1","998,8","-","-","-"
"08/02/2024 - 20:00:00","1007,9","998,6","-","-","-"
"08/02/2024 - 21:00:00","1007,5","998,2","1007,0","7","-"
"08/02/2024 - 22:00:00","1006,9","997,6","-","-","-"
"09/02/2024 - 09:00:00","1010,1","1000,8","1009,6","2","-"
"09/02/2024 - 10:00:00","1010,8","1001,5","-","-","-"
"09/02/2024 - 11:00:00","1011,5","1002,2","-","-","-"
"09/02/2024 - 12:00:00","1011,7","1002,4","1011,3","2","-"
"09/02/2024 - 13:00:00","1011,8","1002,5","-","-","-"
"09/02/2024 - 14:00:00","1011,9","1002,6","-","-","-"
"09/02/2024 - 15:00:00","1011,6","1002,3","1011,1","0","-"
"09/02/2024 - 16:00:00","1011,7","1002,4","-","-","-"
"09/02/2024 - 17:00:00","1011,4","1002,1","-","-","-"
"09/02/2024 - 18:00:00","1010,2","1000,9","1009,7","8","-"
"09/02/2024 - 19:00:00","1008,6","999,3","-","-","-"
"09/02/2024 - 20:00:00","1008,7","999,4","-","-","-"
"09/02/2024 - 21:00:00","1009,2","999,9","1008,8","5","-"
"09/02/2024 - 22:00:00","1009,1","999,8","-","-","-"
"09/02/2024 - 22:45:00","1008,9","999,6","-","-","-"
"10/02/2024 - 09:00:00","1010,0","1000,7","1009,5","3","-"
"10/02/2024 - 10:00:00","1010,4","1001,1","-","-","-"
"10/02/2024 - 11:00:00","1011,4","1002,1","-","-","-"
"10/02/2024 - 12:00:00","1011,9","1002,6","1011,5","1","-"
"10/02/2024 - 13:00:00","1012,0","1002,7","-","-","-"
"10/02/2024 - 14:00:00","1012,4","1003,1","-","-","-"
"10/02/2024 - 15:00:00","1012,4","1003,1","1012,0","1","-"
"10/02/2024 - 16:00:00","1012,1","1002,8","-","-","-"
"10/02/2024 - 17:00:00","1011,4","1002,1","-","-","-"
"10/02/2024 - 18:00:00","1010,4","1001,1","1009,9","7","-"
"10/02/2024 - 19:00:00","1009,6","1000,3","-","-","-"
"10/02/2024 - 20:00:00","1008,7","999,4","-","-","-"
"10/02/2024 - 21:00:00","1008,5","999,2","1008,0","7","-"
"10/02/2024 - 22:00:00","1009,2","999,9","-","-","-"
"11/02/2024 - 09:00:00","1012,1","1002,8","1011,7","3","-"
"11/02/2024 - 10:00:00","1012,4","1003,1","-","-","-"
"11/02/2024 - 11:00:00","1012,8","1003,5","-","-","-"
"11/02/2024 - 12:00:00","1012,9","1003,6","1012,5","2","-"
"11/02/2024 - 13:00:00","1013,0","1003,7","-","-","-"
"11/02/2024 - 14:00:00","1012,9","1003,6","-","-","-"
"11/02/2024 - 15:00:00","1012,6","1003,3","1012,1","8","-"
"11/02/2024 - 16:00:00","1012,2","1002,9","-","-","-"
"11/02/2024 - 17:00:00","1011,7","1002,4","-","-","-"
"11/02/2024 - 18:00:00","1010,4","1001,1","1009,9","7","-"
"11/02/2024 - 20:00:00","1009,0","999,7","-","-","-"
"11/02/2024 - 21:00:00","1009,2","999,9","1008,7","5","-"
"11/02/2024 - 22:00:00","1009,3","1000,0","-","-","-"
"12/02/2024 - 09:00:00","1008,7","999,4","1008,2","3","-"
"12/02/2024 - 10:00:00","1009,4","1000,1","-","-","-"
"12/02/2024 - 11:00:00","1009,6","1000,3","-","-","-"
"12/02/2024 - 12:00:00","1009,7","1000,4","1009,3","2","-"
"12/02/2024 - 13:00:00","1009,7","1000,4","-","-","-"
"12/02/2024 - 14:00:00","1009,6","1000,3","-","-","-"
"12/02/2024 - 15:00:00","1009,0","999,7","1008,5","8","-"
"12/02/2024 - 16:00:00","1008,3","999,0","-","-","-"
"12/02/2024 - 17:00:00","1007,4","998,1","-","-","-"
"12/02/2024 - 18:00:00","1006,8","997,5","1006,3","7","-"
"12/02/2024 - 19:00:00","1006,2","996,9","-","-","-"
"12/02/2024 - 20:00:00","1007,8","998,5","-","-","-"
"12/02/2024 - 20:14:00","1008,6","999,3","-","-","-"
"12/02/2024 - 20:37:00","1009,4","1000,1","-","-","-"
"12/02/2024 - 21:00:00","1009,2","999,9","1008,9","1","-"
"12/02/2024 - 21:23:00","1009,2","999,9","-","-","-"
"12/02/2024 - 22:00:00","1009,6","1000,3","-","-","-"
"13/02/2024 - 09:00:00","1014,5","1005,1","1014,2","3","-"
"13/02/2024 - 10:00:00","1015,1","1005,7","-","-","-"
"13/02/2024 - 11:00:00","1016,3","1006,9","-","-","-"
"13/02/2024 - 12:00:00","1017,6","1008,2","1017,4","2","-"
"13/02/2024 - 13:00:00","1018,3","1008,9","-","-","-"
"13/02/2024 - 14:00:00","1018,8","1009,4","-","-","-"
"13/02/2024 - 15:00:00","1018,8","1009,4","1018,6","1","-"
"13/02/2024 - 16:00:00","1018,7","1009,3","-","-","-"
"13/02/2024 - 17:00:00","1018,0","1008,6","-","-","-"
"13/02/2024 - 18:00:00","1017,4","1008,0","1017,1","8","-"
"13/02/2024 - 19:00:00","1017,0","1007,6","-","-","-"
"13/02/2024 - 20:00:00","1016,6","1007,2","-","-","-"
"13/02/2024 - 21:00:00","1016,5","1007,1","1016,2","7","-"
"13/02/2024 - 22:00:00","1017,0","1007,6","-","-","-"
"14/02/2024 - 09:00:00","1019,1","1009,7","1018,9","3","-"
"14/02/2024 - 10:00:00","1019,6","1010,2","-","-","-"
"14/02/2024 - 11:00:00","1019,9","1010,5","-","-","-"
"14/02/2024 - 12:00:00","1020,1","1010,7","1019,9","2","-"
"14/02/2024 - 13:00:00","1020,2","1010,8","-","-","-"
"14/02/2024 - 14:00:00","1020,1","1010,7","-","-","-"
"14/02/2024 - 15:00:00","1019,3","1009,9","1019,1","8","-"
"14/02/2024 - 16:00:00","1018,6","1009,2","-","-","-"
"14/02/2024 - 17:00:00","1017,9","1008,5","-","-","-"
"14/02/2024 - 18:00:00","1017,2","1007,8","1016,9","-","-"
"14/02/2024 - 19:00:00","1016,6","1007,2","-","-","-"
"14/02/2024 - 20:00:00","1016,2","1006,8","-","-","-"
"14/02/2024 - 22:00:00","1016,3","1006,9","-","-","-"
"15/02/2024 - 09:00:00","1016,0","1006,6","1015,7","7","-"
"15/02/2024 - 10:00:00","1016,4","1007,0","-","-","-"
"15/02/2024 - 11:00:00","1017,0","1007,6","-","-","-"
"15/02/2024 - 12:00:00","1017,2","1007,8","1016,9","2","-"
"15/02/2024 - 13:00:00","1016,9","1007,5","-","-","-"
"15/02/2024 - 14:00:00","1016,9","1007,5","-","-","-"
"15/02/2024 - 15:00:00","1016,4","1007,0","1016,1","7","-"
"15/02/2024 - 16:00:00","1015,9","1006,5","-","-","-"
"15/02/2024 - 17:00:00","1015,4","1006,0","-","-","-"
"15/02/2024 - 18:00:00","1014,8","1005,4","1014,5","7","-"
"15/02/2024 - 19:00:00","1014,0","1004,7","-","-","-"
"15/02/2024 - 20:00:00","1013,4","1004,1","-","-","-"
"15/02/2024 - 21:00:00","1013,3","1004,0","1013,1","6","-"
"15/02/2024 - 22:00:00","1013,8","1004,5","-","-","-"
"16/02/2024 - 09:00:00","1013,8","1004,5","1013,5","3","-"
"16/02/2024 - 10:00:00","1014,6","1005,2","-","-","-"
"16/02/2024 - 11:00:00","1015,1","1005,7","-","-","-"
"16/02/2024 - 12:00:00","1015,2","1005,8","1014,9","1","-"
"16/02/2024 - 13:00:00","1015,3","1005,9","-","-","-"
"16/02/2024 - 14:00:00","1015,2","1005,8","-","-","-"
"16/02/2024 - 15:00:00","1014,7","1005,3","1014,3","8","-"
"16/02/2024 - 16:00:00","1014,4","1005,0","-","-","-"
"16/02/2024 - 17:00:00","1013,6","1004,3","-","-","-"
"16/02/2024 - 18:00:00","1012,9","1003,6","1012,6","7","-"
"16/02/2024 - 19:00:00","1012,2","1002,9","-","-","-"
"16/02/2024 - 20:00:00","1011,5","1002,2","-","-","-"
"16/02/2024 - 21:00:00","1011,3","1002,0","1011,0","7","-"
"16/02/2024 - 22:00:00","1011,3","1002,0","-","-","-"
"17/02/2024 - 09:00:00","1011,6","1002,3","1011,3","5","-"
"17/02/2024 - 10:00:00","1012,1","1002,8","-","-","-"
"17/02/2024 - 11:00:00","1012,5","1003,2","-","-","-"
"17/02/2024 - 12:00:00","1012,8","1003,5","1012,6","2","-"
"17/02/2024 - 13:00:00","1012,6","1003,3","-","-","-"
"17/02/2024 - 14:00:00","1012,7","1003,4","-","-","-"
"17/02/2024 - 15:00:00","1012,7","1003,4","1012,5","1","-"
"17/02/2024 - 16:00:00","1012,2","1002,9","-","-","-"
"17/02/2024 - 17:00:00","1011,7","1002,4","-","-","-"
"17/02/2024 - 18:00:00","1010,8","1001,5","1010,5","7","-"
"17/02/2024 - 19:00:00","1010,1","1000,8","-","-","-"
"17/02/2024 - 20:00:00","1009,6","1000,3","-","-","-"
"17/02/2024 - 21:00:00","1009,4","1000,1","1009,1","7","-"
"17/02/2024 - 22:00:00","1009,6","1000,3","-","-","-"
"18/02/2024 - 09:00:00","1010,9","1001,6","1010,6","3","-"
"18/02/2024 - 10:00:00","1011,2","1001,9","-","-","-"
"18/02/2024 - 11:00:00","1011,6","1002,3","-","-","-"
"18/02/2024 - 12:00:00","1011,9","1002,6","1011,6","2","-"
"18/02/2024 - 13:00:00","1011,9","1002,6","-","-","-"
"18/02/2024 - 14:00:00","1011,7","1002,4","-","-","-"
"18/02/2024 - 15:00:00","1011,4","1002,1","1011,1","8","-"
"18/02/2024 - 16:00:00","1011,1","1001,8","-","-","-"
"18/02/2024 - 17:00:00","1010,6","1001,3","-","-","-"
"18/02/2024 - 18:00:00","1009,9","1000,6","1009,6","7","-"
"18/02/2024 - 19:00:00","1009,0","999,7","-","-","-"
"18/02/2024 - 20:00:00","1008,4","999,1","-","-","-"
"18/02/2024 - 21:00:00","1008,2","998,9","1007,8","6","-"
"18/02/2024 - 22:00:00","1007,9","998,6","-","-","-"
"18/02/2024 - 23:00:00","1008,3","999,0","-","-","-"
"18/02/2024 - 23:15:00","1008,5","999,2","-","-","-"
"19/02/2024 - 09:00:00","1008,4","999,1","1008,0","5","-"
"19/02/2024 - 10:00:00","1009,1","999,8","-","-","-"
"19/02/2024 - 11:00:00","1009,5","1000,2","-","-","-"
"19/02/2024 - 12:00:00","1009,9","1000,6","1009,6","2","-"
"19/02/2024 - 13:00:00","1010,1","1000,8","-","-","-"
"19/02/2024 - 14:00:00","1009,9","1000,6","-","-","-"
"19/02/2024 - 15:00:00","1009,0","999,7","1008,6","8","-"
"19/02/2024 - 16:00:00","1008,3","999,0","-","-","-"
"19/02/2024 - 16:37:00","1010,1","1000,8","-","-","-"
"19/02/2024 - 16:42:00","1011,2","1001,9","-","-","-"
"19/02/2024 - 17:00:00","1011,5","1002,2","-","-","-"
"19/02/2024 - 17:21:00","1010,7","1001,4","-","-","-"
"19/02/2024 - 18:00:00","1009,2","999,9","1008,9","0","-"
"19/02/2024 - 19:00:00","1008,3","999,0","-","-","-"
"19/02/2024 - 20:00:00","1007,5","998,2","-","-","-"
"19/02/2024 - 21:00:00","1008,2","998,9","1007,9","5","-"
"19/02/2024 - 22:00:00","1008,4","999,1","-","-","-"
"20/02/2024 - 09:00:00","1009,3","1000,0","1009,0","3","-"
"20/02/2024 - 10:00:00","1009,9","1000,6","-","-","-"
"20/02/2024 - 11:00:00","1010,4","1001,1","-","-","-"
"20/02/2024 - 12:00:00","1010,5","1001,2","1010,2","1","-"
"20/02/2024 - 13:00:00","1010,7","1001,4","-","-","-"
"20/02/2024 - 14:00:00","1010,5","1001,2","-","-","-"
"20/02/2024 - 15:00:00","1009,9","1000,6","1009,6","0","-"
"20/02/2024 - 16:00:00","1009,4","1000,1","-","-","-"
"20/02/2024 - 17:00:00","1009,2","999,9","-","-","-"
"20/02/2024 - 18:00:00","1008,3","999,0","1007,9","7","-"
"20/02/2024 - 19:00:00","1007,5","998,2","-","-","-"
"20/02/2024 - 20:00:00","1007,1","997,8","-","-","-"
"20/02/2024 - 21:00:00","1007,0","997,7","1006,6","7","-"
"20/02/2024 - 22:00:00","1007,2","997,9","-","-","-"
"21/02/2024 - 09:00:00","1009,5","1000,2","1009,2","3","-"
"21/02/2024 - 10:00:00","1009,9","1000,6","-","-","-"
"21/02/2024 - 11:00:00","1010,4","1001,1","-","-","-"
"21/02/2024 - 12:00:00","1010,7","1001,4","1010,5","2","-"
"21/02/2024 - 13:00:00","1010,2","1000,9","-","-","-"
"21/02/2024 - 14:00:00","1010,1","1000,8","-","-","-"
"21/02/2024 - 15:00:00","1009,4","1000,1","1009,1","6","-"
"21/02/2024 - 16:00:00","1008,7","999,4","-","-","-"
"21/02/2024 - 17:00:00","-","-","-","-","-"
"21/02/2024 - 18:00:00","1007,2","997,9","1006,8","7","-"
"21/02/2024 - 19:00:00","1006,5","997,2","-","-","-"
"21/02/2024 - 20:00:00","-","-","-","-","-"
"21/02/2024 - 21:00:00","1005,8","996,5","1005,5","6","-"
"21/02/2024 - 22:00:00","1005,9","996,6","-","-","-"
"22/02/2024 - 09:00:00","1006,5","997,2","1006,1","5","-"
"22/02/2024 - 10:00:00","1007,0","997,7","-","-","-"
"22/02/2024 - 11:00:00","1007,4","998,1","-","-","-"
"22/02/2024 - 12:00:00","1007,6","998,3","1007,2","2","-"
"22/02/2024 - 13:00:00","1007,6","998,3","-","-","-"
